countrycode,year,test,idgrade,subject,nonprof_all,se_nonprof_all,nonprof_ma,se_nonprof_ma,nonprof_fe,se_nonprof_fe
ARE,2011,PIRLS,4,read,36.017685,0.8808257,42.150146,1.4214823,29.855675,1.1456658
ARE,2011,TIMSS,4,math,36.141468,0.97319388,38.809471,1.5059434,33.462761,1.2600484
ARE,2011,TIMSS,4,science,39.358074,1.0403529,43.469112,1.5790539,35.230553,1.4192994
ARE,2015,TIMSS,4,math,31.665915,0.85144204,32.954182,1.3370425,30.250454,1.6114295
ARE,2015,TIMSS,4,science,33.224003,0.93746746,35.835308,1.4489555,30.354858,1.6378882
ARE,2016,PIRLS,4,read,32.428772,1.3028113,38.499516,1.7644614,26.029068,1.6799361
ARG,2001,PIRLS,4,read,40.235104,2.7008476,44.358452,3.0494652,36.24559,2.9624629
ARG,2006,LLECE,6,read,55.296715,0.63825852,57.913132,0.90317416,52.624977,0.90514821
ARG,2013,LLECE,6,read,53.578964,0.94843376,59.282379,1.3507472,49.011475,1.3413248
ARM,2003,TIMSS,4,math,25.028837,1.4846536,27.53191,1.7162535,22.400993,1.5977393
ARM,2003,TIMSS,4,science,34.457951,1.7659854,36.311317,2.0276687,32.512207,1.9867963
ARM,2007,TIMSS,4,math,13.261837,1.1947109,14.053506,1.2131757,12.413817,1.6255416
ARM,2007,TIMSS,4,science,23.421991,1.5546815,26.122242,1.6673526,20.529539,1.9306825
ARM,2011,TIMSS,4,math,28.494602,1.4271125,29.590267,1.5639182,27.277542,1.8726581
ARM,2011,TIMSS,4,science,42.30035,1.8219091,43.347752,2.1434176,41.136909,2.3086748
ARM,2015,TIMSS,4,math,16.116714,1.2635183,17.039865,1.4937094,15.142399,1.4093491
ARM,2015,TIMSS,4,science,29.995728,1.6847034,33.155674,1.7214665,26.660656,2.0458755
AUS,2003,TIMSS,4,math,11.772555,1.3395137,12.09656,1.5736049,11.454969,1.4261994
AUS,2003,TIMSS,4,science,8.2483826,1.126408,9.7264709,1.719678,6.7995906,0.81890726
AUS,2007,TIMSS,4,math,8.5019054,0.97796416,9.4296093,1.3721092,7.6029539,1.0363823
AUS,2007,TIMSS,4,science,6.7127523,0.77513599,7.3173881,0.86517781,6.1268568,0.90491402
AUS,2011,PIRLS,4,read,7.0671978,0.6665988,8.914793,1.0408237,5.1644745,0.5472275
AUS,2011,TIMSS,4,math,9.6564884,0.99564481,9.6899691,1.0347707,9.6221743,1.1815001
AUS,2011,TIMSS,4,science,8.8150616,0.96020073,9.9969025,1.2189156,7.6036215,1.1423976
AUS,2015,TIMSS,4,math,8.6326542,0.82733464,8.3586988,1.0716155,8.9223747,1.0473249
AUS,2015,TIMSS,4,science,6.2963724,0.75868183,6.9386005,0.96729428,5.6172075,0.97439325
AUS,2016,PIRLS,4,read,5.513793,0.5545066,7.2660627,0.80952084,3.7707806,0.49180329
AUT,2006,PIRLS,4,read,2.3767412,0.4234789,3.1361341,0.6013034,1.6007125,0.41669005
AUT,2007,TIMSS,4,math,7.0772591,0.76076084,6.4416828,0.87871188,7.7604713,0.87801218
AUT,2007,TIMSS,4,science,6.5139651,0.61466408,5.8681192,0.72661781,7.2082224,0.81918186
AUT,2011,PIRLS,4,read,2.8958917,0.34855339,3.4892976,0.58483535,2.2705734,0.34008375
AUT,2011,TIMSS,4,math,4.6978116,0.75814056,4.3205681,0.88424748,5.0938845,0.90484035
AUT,2011,TIMSS,4,science,4.0010395,0.58908492,3.6144674,0.70928776,4.4069052,0.73330677
AUT,2016,PIRLS,4,read,2.4142623,0.37913904,2.8882682,0.55914587,1.9100189,0.40631858
AZE,2011,PIRLS,4,read,18.140429,1.5970168,20.126265,1.8544042,15.914053,1.6624036
AZE,2011,TIMSS,4,math,27.715492,1.927603,28.75815,2.0801756,26.550365,2.0992165
AZE,2011,TIMSS,4,science,34.854095,2.0781758,36.072128,2.2712588,33.492996,2.2963567
AZE,2016,PIRLS,4,read,19.213671,1.6500555,21.653826,1.9130487,16.456329,1.7156087
BDI,2014,PASEC,6,read,92.673416,0.78368288,93.777,1.0040926,91.334206,1.0198774
BEL,2003,TIMSS,4,math,0.73761344,0.25692737,0.99488497,0.46899259,0.48084259,0.15899464
BEL,2003,TIMSS,4,science,2.166909,0.3739368,2.6023865,0.61991531,1.7322719,0.33339065
BEL,2006,PIRLS,4,read,3.7632585,0.29862028,4.2494655,0.42297101,3.2743275,0.38977373
BEL,2011,PIRLS,4,read,6.2062502,1.0814266,6.8657875,1.0630602,5.5168924,1.339191
BEL,2011,TIMSS,4,math,0.67988634,0.19328727,0.61045289,0.19436146,0.74855089,0.34084812
BEL,2011,TIMSS,4,science,3.5302162,0.5027169,2.9395044,0.55515134,4.1143475,0.74577326
BEL,2015,TIMSS,4,math,0.97278953,0.29178628,0.74178576,0.278476,1.2027562,0.52138716
BEL,2015,TIMSS,4,science,4.1052103,0.62943709,4.1296124,0.7651512,4.0809212,0.76118332
BEL,2016,PIRLS,4,read,5.0987124,0.44009835,6.4357996,0.56938481,3.7760079,0.46384996
BEN,2014,PASEC,6,read,77.341751,1.9206686,75.128662,2.3338456,79.327499,2.0473688
BFA,2014,PASEC,6,read,78.576775,1.6237392,77.478043,1.9605685,79.63546,1.7523117
BGR,2001,PIRLS,4,read,4.9507022,0.89022088,6.6674113,1.1529316,3.3338368,0.82866049
BGR,2006,PIRLS,4,read,5.2352786,0.95801038,6.751287,1.4136159,3.6847651,0.98383307
BGR,2011,PIRLS,4,read,6.9515586,1.0346819,8.1134501,1.3211757,5.758214,1.1347538
BGR,2015,TIMSS,4,math,8.0693245,1.4036875,8.5782232,1.5029848,7.540947,1.4377358
BGR,2015,TIMSS,4,science,9.6602497,1.5462788,10.610825,1.656563,8.6733046,1.5613601
BGR,2016,PIRLS,4,read,5.2132845,0.89644676,5.9946833,1.0836039,4.4155893,0.91922617
BHR,2011,TIMSS,4,math,33.136017,1.358938,36.102718,1.7374743,30.220634,2.1419344
BHR,2011,TIMSS,4,science,29.960955,1.4031,34.743671,2.1079516,25.260956,2.2524827
BHR,2015,TIMSS,4,math,27.580971,0.75459969,31.393593,1.1295618,23.781799,0.80938208
BHR,2015,TIMSS,4,science,27.540611,0.90811568,34.597439,1.1267681,20.4247,1.3096881
BHR,2016,PIRLS,4,read,30.631668,0.98524719,40.202724,1.5092248,21.005774,1.3251656
BLZ,2001,PIRLS,4,read,74.782043,1.7576765,78.244598,2.0710907,71.481773,2.1557472
BRA,2006,LLECE,6,read,50.068455,0.70710611,53.803219,1.0232215,46.076412,1.0170498
BRA,2013,LLECE,6,read,46.947468,1.0556511,48.479885,1.5640706,46.273785,1.4878898
BWA,2000,SACMEQ,6,read,49.164425,0.86751086,56.657349,1.2277935,41.977085,1.2001461
BWA,2007,SACMEQ,6,read,43.381287,0.796974,51.312801,1.1424818,35.522545,1.0832185
BWA,2011,PIRLS,6,read,44.298088,1.8335704,51.519245,2.2553372,37.47427,1.9268957
BWA,2011,TIMSS,6,math,40.451683,1.5643973,44.93045,1.9583348,36.23864,1.7187052
BWA,2011,TIMSS,6,science,56.856773,1.7763624,59.099503,2.1224904,54.747108,2.0927551
CAN,2001,PIRLS,4,read,3.0926406,0.37246317,4.0687504,0.59999943,2.0981908,0.30955848
CAN,2011,PIRLS,4,read,2.249223,0.24820776,2.6927412,0.32694203,1.7935097,0.31558815
CAN,2015,TIMSS,4,math,7.6147079,0.8156932,7.0920048,0.88968605,8.1537428,0.89808011
CAN,2015,TIMSS,4,science,5.2902937,0.73528934,5.8126631,0.89109612,4.751605,0.72419763
CAN,2016,PIRLS,4,read,4.2596102,0.44186455,4.766655,0.42275438,3.7394226,0.69026643
CHL,2006,LLECE,6,read,38.378082,0.59792173,39.026855,0.86233515,36.865036,0.8670454
CHL,2011,TIMSS,4,math,22.530819,1.1781337,21.851391,1.5425469,23.185932,1.4111376
CHL,2011,TIMSS,4,science,15.499735,1.0757316,14.471835,1.2033263,16.490847,1.4112489
CHL,2013,LLECE,6,read,30.258625,0.78980315,33.001137,1.139773,26.937771,1.1056416
CHL,2015,TIMSS,4,math,21.834099,1.5301539,22.742128,1.6907545,20.883167,1.7912123
CHL,2015,TIMSS,4,science,14.934683,1.169933,15.774846,1.6789583,14.054829,1.3638445
CHL,2016,PIRLS,4,read,12.797934,1.1272485,14.895308,1.313558,10.502249,1.4023873
CIV,2014,PASEC,6,read,77.626785,1.5555022,79.196213,1.7940787,75.768341,2.0104423
CMR,2014,PASEC,6,read,75.911171,1.850337,78.431297,2.0220363,72.914833,2.1565452
COG,2014,PASEC,6,read,82.860397,1.6526347,83.598534,1.9381231,82.115288,1.9923455
COL,2001,PIRLS,4,read,38.857155,2.2092042,41.438911,2.428839,36.324429,2.5581574
COL,2006,LLECE,6,read,51.808834,0.65329254,50.889313,0.93528974,52.607445,0.91606724
COL,2007,TIMSS,4,math,69.067848,1.9607726,65.716522,2.1335354,72.475189,2.1219513
COL,2007,TIMSS,4,science,48.652565,2.4360614,46.902466,2.6799462,50.431911,2.5950515
COL,2011,PIRLS,4,read,27.671469,1.9101365,27.32144,2.3198891,28.03303,2.2799928
COL,2013,LLECE,6,read,44.726212,0.86737502,45.863224,1.2193272,43.220036,1.2372953
CRI,2006,LLECE,6,read,28.672039,0.67131591,28.781986,0.99390817,28.723234,0.99068022
CRI,2013,LLECE,6,read,31.704283,0.9234733,32.839745,1.3035231,30.255014,1.3066099
CUB,2006,LLECE,6,read,25.118423,0.56548512,27.900679,0.81265837,22.114069,0.77958578
CYP,2001,PIRLS,4,read,13.243156,1.090377,16.42359,1.7285188,9.8692417,1.0867338
CYP,2003,TIMSS,4,math,10.586166,0.67498398,10.381079,0.9444046,10.798759,1.0454682
CYP,2003,TIMSS,4,science,14.203816,0.84376985,13.778448,0.99025518,14.644754,1.1847069
CYP,2015,TIMSS,4,math,7.3704062,0.56788665,7.6465845,0.83370304,7.0849538,0.60470319
CYP,2015,TIMSS,4,science,14.299422,0.97925293,14.928842,1.2124311,13.648886,1.1900815
CZE,2001,PIRLS,4,read,2.7299762,0.41122153,3.4188688,0.58553869,2.0016611,0.47992378
CZE,2007,TIMSS,4,math,11.803579,1.0981083,11.774164,1.3874139,11.836231,1.3501325
CZE,2007,TIMSS,4,science,6.9840431,0.8040784,7.0513129,0.81939697,6.9093647,1.1016068
CZE,2011,PIRLS,4,read,1.7492115,0.52261341,2.0508945,0.65494835,1.433599,0.513933
CZE,2011,TIMSS,4,math,6.8130198,0.77075428,6.6422224,1.1736082,6.99473,1.0172029
CZE,2011,TIMSS,4,science,3.4956813,0.69423389,3.1730354,0.70201933,3.8389504,0.96562833
CZE,2015,TIMSS,4,math,3.9297938,0.50348359,3.669703,0.58743566,4.1967154,0.63682699
CZE,2015,TIMSS,4,science,3.5195827,0.55463016,3.3158779,0.56616122,3.7286401,0.70636302
CZE,2016,PIRLS,4,read,2.9605269,0.50483227,3.8604975,0.65036011,2.0282984,0.48253885
DEU,2001,PIRLS,4,read,2.9658079,0.37882036,3.3596516,0.56419307,2.5685549,0.44243276
DEU,2006,PIRLS,4,read,2.5919139,0.2625764,2.9349208,0.51142031,2.234751,0.34206986
DEU,2007,TIMSS,4,math,4.0521383,0.51094162,3.4668982,0.59163702,4.6600876,0.67551112
DEU,2007,TIMSS,4,science,5.810338,0.6103791,5.2439156,0.63834727,6.3987436,0.85763633
DEU,2011,PIRLS,4,read,2.3894072,0.34824276,2.7957559,0.56306565,1.971364,0.45972824
DEU,2011,TIMSS,4,math,2.7480364,0.57721359,2.4097562,0.56267267,3.0964017,0.82968211
DEU,2011,TIMSS,4,science,4.2903662,0.65727168,3.8845062,0.69966996,4.7083259,0.98896784
DEU,2015,TIMSS,4,math,3.6922097,0.56661826,3.8428843,0.60793751,3.5295963,0.87308884
DEU,2015,TIMSS,4,science,3.9718211,0.5690437,3.9458156,0.66082782,3.9998889,0.65276027
DEU,2016,PIRLS,4,read,5.4925561,0.91630173,6.5240917,1.3055249,4.4245539,0.8908788
DNK,2006,PIRLS,4,read,3.4869134,0.44103959,4.2330446,0.71050769,2.7873099,0.50595999
DNK,2007,TIMSS,4,math,4.6738505,0.76938581,5.1084995,0.97083664,4.2581854,0.84029752
DNK,2007,TIMSS,4,science,7.0845785,0.82864833,7.5095534,1.1729001,6.6781578,1.0942608
DNK,2011,PIRLS,4,read,1.4267802,0.21996096,1.6681314,0.37661621,1.1899829,0.30372426
DNK,2011,TIMSS,4,math,3.4074843,0.55431122,3.3784986,0.71208882,3.4351468,0.61691672
DNK,2011,TIMSS,4,science,4.8393846,0.70966876,5.1012635,0.91903192,4.5895281,0.75614339
DNK,2015,TIMSS,4,math,4.0880919,0.64475524,4.0540338,0.91920102,4.123044,0.80376834
DNK,2015,TIMSS,4,science,4.2105379,0.53701687,4.5400023,0.70972496,3.8723886,0.72194237
DNK,2016,PIRLS,3,read,11.819988,0.87313324,13.790607,1.0748776,9.8819494,1.0576172
DNK,2016,PIRLS,4,read,2.6210546,0.40861928,2.8600514,0.62710011,2.3911417,0.49161655
DOM,2006,LLECE,6,read,89.417336,0.46539035,90.959106,0.64609402,87.78138,0.71095091
DOM,2013,LLECE,6,read,79.381966,0.78514934,80.609627,1.0973601,78.122993,1.1235025
DZA,2007,TIMSS,4,math,59.065132,2.234638,60.053146,2.0998881,58.064732,2.8048759
DZA,2007,TIMSS,4,science,66.52803,2.0792232,68.446373,2.1249931,64.585632,2.593668
ECU,2006,LLECE,6,read,77.639915,0.58372343,79.053574,0.81320226,76.42791,0.87278944
ECU,2013,LLECE,6,read,62.068684,0.79087967,62.174427,1.0806098,62.053181,1.162975
EGY,2016,PIRLS,4,read,69.155106,1.7668108,73.60952,1.9039412,64.601532,1.8867943
ESP,2006,PIRLS,4,read,6.4623952,0.83914471,6.6658916,1.0711429,6.254065,0.9830122
ESP,2011,PIRLS,4,read,6.1280847,0.69463515,7.0787907,1.1746172,5.1544247,0.61746079
ESP,2011,TIMSS,4,math,12.708902,1.3040901,11.832404,1.5689495,13.61937,1.4735527
ESP,2011,TIMSS,4,science,8.45294,1.1596133,7.8647556,1.177838,9.0639172,1.3346075
ESP,2015,TIMSS,4,math,7.0198593,0.87480474,6.8492889,0.99785477,7.1951985,1.1516693
ESP,2015,TIMSS,4,science,5.201417,0.68644059,5.4427266,0.81427062,4.9533663,0.8378588
ESP,2016,PIRLS,4,read,3.431344,0.49629551,4.3945255,0.87470311,2.4438381,0.3892706
ESP,2021,PIRLS,4,read,4.76939,0.0051405,4.45235,0.0067716,4.04218,0.0064489
FIN,2011,PIRLS,4,read,0.79878569,0.2001375,1.084429,0.33230689,0.50019622,0.19822688
FIN,2011,TIMSS,4,math,2.0760715,0.42004585,2.3910284,0.60590887,1.744169,0.42810422
FIN,2011,TIMSS,4,science,1.2376726,0.31424659,1.3541937,0.41498467,1.114881,0.379269
FIN,2015,TIMSS,4,math,2.6628017,0.41589466,3.3640206,0.61687541,1.9076407,0.42197314
FIN,2015,TIMSS,4,science,1.4970958,0.38992715,1.8927515,0.59570509,1.0710001,0.28855264
FIN,2016,PIRLS,4,read,1.7100692,0.29318789,2.3466051,0.52474904,1.0716259,0.29770705
FRA,2001,PIRLS,4,read,4.6359596,0.64543539,5.8537779,0.88398111,3.3413708,0.6830135
FRA,2006,PIRLS,4,read,4.0925798,0.42905742,5.0575137,0.60058939,3.0663729,0.44685853
FRA,2011,PIRLS,4,read,4.7308865,0.77723807,4.6420932,0.72597766,4.8217831,0.97699666
FRA,2015,TIMSS,4,math,12.501186,0.98431802,11.904454,1.0300738,13.12533,1.3949523
FRA,2015,TIMSS,4,science,12.192451,1.0387965,12.78767,1.2280244,11.569881,1.3543863
FRA,2016,PIRLS,4,read,6.2845764,0.49711183,7.2820187,0.69898474,5.2986622,0.69623154
GBR,2001,PIRLS,5,read,5.711132,0.62711519,7.2862682,0.87271053,4.236865,0.74345946
GBR,2003,TIMSS,4,math,7.920331,0.73761398,8.3449068,0.99877614,7.4912548,0.90119112
GBR,2003,TIMSS,4,science,5.9597015,0.62254953,6.6847086,0.89684373,5.2270231,0.66374636
GBR,2006,PIRLS,4,read,6.7622004,0.59902871,7.717103,0.71941817,5.7959261,0.68913835
GBR,2007,TIMSS,4,math,6.36726,0.59301388,7.1777878,0.83383173,5.5227399,0.61160582
GBR,2007,TIMSS,4,science,5.208272,0.55644,6.0914574,0.7861076,4.2880535,0.51338065
GBR,2011,PIRLS,4,read,3.2437325,0.59564435,3.796953,0.97221518,2.6816189,0.6044113
GBR,2011,PIRLS,5,read,4.6339455,0.53728783,6.1062393,0.68860549,3.1097651,0.64917547
GBR,2011,TIMSS,4,math,4.0750685,0.50082046,4.8452616,0.86213166,3.284806,0.53814906
GBR,2011,TIMSS,4,science,6.1889529,0.96495479,6.7634583,0.99691617,5.5994692,1.2170453
GBR,2011,TIMSS,5,math,6.6532793,0.69909561,7.3664007,0.73905832,5.8952212,1.0323105
GBR,2011,TIMSS,5,science,6.8092766,0.70172834,7.8809142,0.98796439,5.6701126,0.89935762
GBR,2015,TIMSS,4,math,4.2443218,0.6204645,4.537982,0.68192238,3.9607108,0.78743219
GBR,2015,TIMSS,4,science,3.1321883,0.42720816,3.4817696,0.55999255,2.7945817,0.51297444
GBR,2016,PIRLS,4,read,3.1756341,0.33946967,3.8290858,0.48129898,2.5315464,0.38482594
GBR,2021,PIRLS,4,read,2.96894,0.0042999,3.76661,0.0070101,2.21858,0.004128
GEO,2006,PIRLS,4,read,17.977888,1.3104683,21.12376,1.6429163,14.568299,1.4011302
GEO,2007,TIMSS,4,math,33.171272,1.9856182,34.779751,2.1807234,31.350458,2.2420442
GEO,2007,TIMSS,4,science,41.13419,2.1309404,43.994606,2.3279946,37.896175,2.6196201
GEO,2011,PIRLS,4,read,13.514507,1.3965394,16.62833,1.8377519,10.119456,1.2017524
GEO,2011,TIMSS,4,math,27.561497,1.6763797,29.468065,2.1748691,25.482105,1.5623674
GEO,2011,TIMSS,4,science,24.815351,1.629626,27.436054,2.0011513,21.957088,1.6807076
GEO,2015,TIMSS,4,math,22.444117,1.6044514,23.787224,1.9790554,21.022106,1.6370276
GEO,2015,TIMSS,4,science,25.956266,1.705677,27.183891,2.1140785,24.656523,1.820312
GEO,2016,PIRLS,4,read,13.523626,1.1186023,16.703939,1.5544558,10.262484,1.1079484
GRC,2001,PIRLS,4,read,5.4929552,0.79732865,7.9868793,1.170063,2.9588342,0.78165799
GTM,2006,LLECE,6,read,79.278381,0.5644595,78.503471,0.81478089,79.42202,0.81310683
GTM,2013,LLECE,6,read,63.624409,0.86168498,62.725727,1.2062005,64.502678,1.2322136
HKG,2001,PIRLS,4,read,3.3758163,0.57945341,4.9082699,0.75971305,1.9502997,0.52472961
HKG,2003,TIMSS,4,math,0.66483617,0.16452169,0.89374781,0.25530091,0.40778518,0.19416614
HKG,2003,TIMSS,4,science,1.7436624,0.34731057,2.3034096,0.54554147,1.1150837,0.26708075
HKG,2006,PIRLS,4,read,0.85384846,0.20422356,1.239711,0.32898948,0.44769645,0.18673775
